gene_id	TCGA-05-4417-01A-22R-1858-07	TCGA-35-3615-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-44-7671-01A-11R-2066-07	TCGA-55-7281-01A-11R-2039-07	TCGA-55-8203-01A-11R-2241-07	TCGA-55-8299-01A-11R-2287-07	TCGA-55-8615-01A-11R-2403-07	TCGA-62-A46S-01A-11R-A24H-07	TCGA-69-7980-01A-11R-2187-07	TCGA-78-7148-01A-11R-2039-07	TCGA-78-7160-01A-11R-2039-07	TCGA-78-7161-01A-11R-2039-07	TCGA-86-7713-01A-11R-2066-07	TCGA-4B-A93V-01A-11R-A39D-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6975-01A-11R-1949-07	TCGA-55-7283-01A-11R-2039-07	TCGA-55-7911-01A-11R-2170-07	TCGA-55-7914-01A-11R-2170-07	TCGA-55-8514-01A-11R-2403-07	TCGA-69-7978-01A-11R-2187-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4811	0	0	0	0	0	0	0
?|100133144	0	5.9519	13.592	3.4596	2.5356	15.9175	8.9288	14.3797	74.4283	13.3813	5.573	4.0126	30.1511	21.7399	12.0612	4.1842	9.6731	7.2231	10.1229	8.9955	5.8129	3.3658
?|100134869	6.3538	8.3431	24.4828	4.7326	3.7322	3.4941	9.6553	20.9144	31.9735	11.4216	13.5709	1.0347	37.823	6.1564	8.6261	2.4493	1.2238	5.8095	13.136	9.995	41.2839	10.4203
?|10357	60.4054	118.109	97.3563	108.21	106.752	111.827	88.7599	80.3797	77.6512	101.343	122.207	77.5142	56.1062	61.3455	57.9341	81.2848	124.887	95.7594	131.249	164.598	82.0645	66.2609
?|10431	1064.89	1045.81	888.649	948.72	647.863	842.786	782.219	1064.17	1342.16	824.619	1057.17	933.754	713.545	877.292	1792.1	1005.73	1393.96	932.832	1083.12	642.179	875.484	756.557
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	55.2779	122.807	66.092	32.1386	59.8291	243.049	167.256	158.823	202.649	134.119	31.9064	44.164	423.277	268.623	462.819	63.2726	48.6169	63.6591	202.458	126.437	372.903	206.792
?|26823	0.6354	0	0	0	0	0	0.4224	0	0.883	1.2248	0	0	0.3674	0.2405	0	0	0	0	2.1144	0.9995	1.2903	0
?|280660	0	0	0	0	0	0	0	0	0	0	1.5953	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	2.1552	0.9453	0	0.4044	0	0	0.4415	0.3062	0	0	0	0	0	0	0	0	0	0	0.6452	0
?|388795	1.9061	0.6498	0	0.6302	0	1.6176	2.5342	1.0695	0.4415	0.3062	1.0635	0	0.7349	8.417	0	0	0	0	6.8719	0.9995	20	1.0087
?|390284	6.9892	4.5484	4.3103	1.8905	10.8262	11.3234	5.0684	5.3476	5.7395	2.7559	12.2308	7.571	5.144	4.0883	10.5842	3.5718	3.3529	5.0125	10.0436	7.4963	3.871	1.0087
?|391343	0.6354	0	0	0	0.5698	0	0	0	0	0	0	0	0	0	0	0	0.8382	0	0	0	5.1613	0
?|391714	0	0	0	0	0	0	0	0.5348	0	0	0	0	0	0	0	0	0.8382	1.0025	0	0.9995	0	0
?|404770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	1.4368	0.3151	0	0	0	0	0	0	0.5318	0	0	0.2405	0	0	0	0	0.5286	0	0	0
?|553137	1.2708	0.9747	0	1.5754	3.9886	0.4044	0	0	8.83	0.3062	0	5.6782	0	2.1644	2.4055	0	1.6764	1.5038	0	0.9995	0.6452	0
?|57714	590.267	489.928	274.425	644.663	342.45	618.744	933.848	802.674	342.163	1244.74	499.867	876.972	498.967	1907.77	331.478	1613.96	583.403	696.241	3091.32	442.779	467.742	2399.8
?|645851	3.8123	15.9194	5.7471	3.4659	4.5584	19.4116	16.0499	13.369	15.4525	20.516	5.3177	3.1546	22.0457	44.0089	9.622	4.5924	5.0293	1.0025	34.3597	17.4913	23.2258	17.4849
?|652919	36.0069	6.4977	15.0862	5.4478	0	0	22.8415	0	3.5364	0	26.4132	0	15.1307	76.9266	0	0	0	0	0	8.5757	23.871	74.1796
?|653553	335.48	304.743	257.184	574.084	970.94	529.37	212.027	275.936	225.607	596.494	254.72	202.524	157.259	228.221	474.846	742.942	503.772	377.945	654.949	211.394	403.871	637.525
?|728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728603	0	0	0	0	0	0	0	2.6738	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|728788	0	0.3249	1.4368	0	0	0	1.6895	0	0	0	0	0	0	0	0	0	0	0	0	2.4988	0	1.0087
?|729884	187.437	41.9103	167.385	86.3332	44.4444	9.3014	263.978	574.866	1.3245	210.059	1343.79	116.088	246.544	25.251	45.2235	501.588	1810.56	49.1228	834.148	0	0.6452	1024.88
?|8225	446.671	818.713	801.006	549.508	765.812	560.105	340.003	2320.86	606.622	636.913	536.559	508.517	618.381	563.218	878.009	221.454	540.654	538.847	621.647	327.336	732.258	456.624
?|90288	5.083	10.7212	15.8046	80.3466	13.6752	8.4926	4.2236	10.1604	65.7837	22.6594	3.1906	6.9401	24.9851	11.7838	10.1031	1.0205	2.5147	44.6115	3.1717	3.998	1.9355	10.4237
A1BG|1	85.3059	51.9331	45.2011	37.4762	181.937	57.2884	75.6582	594.663	48.5651	154.721	19.1438	39.3123	97.35	89.8936	57.251	33.5702	79.6312	71.6792	26.7794	44.8526	32.2581	60.1547
A1CF|29974	0	0	0	0	0	0	0	0	0	0.6124	22.3345	0	0	0	0	0	0	0	0	0	0	0
A2BP1|54715	54.0072	0	0	0.3151	0	69.5582	0	13.369	0	0	0	0	0	0	1.4433	0	0	0	0	0	0	0.6725
A2LD1|87769	144.066	185.65	118.355	133.823	151.63	60.0506	139.296	83.4225	90.3929	103.759	151.518	104.12	51.5318	40.5026	89.8311	81.9635	67.9799	123.263	94.9861	148.641	91.5742	133.315
A2M|2	34142	10139	29278.7	29143.4	13688.8	13144	47227.4	7698.9	22409.3	34426.6	23286.3	40603.1	24615.1	24543.4	4270.19	23954.3	47086.3	37477.2	10764.1	14078.9	14647.7	24463
A2ML1|144568	3.1769	0	0.7184	0.3151	132.763	3.2353	4.2236	3.7433	1.766	4.2869	10.1037	0.6309	0.3674	7.6955	0	0	3.3529	0	0	2.9985	0	0
A4GALT|53947	579.465	77.3229	112.069	250.492	214.815	436.356	436.303	669.519	407.064	187.706	206.86	196.214	693.704	245.776	596.565	359.225	559.095	356.391	32.7739	204.898	536.774	368.527
A4GNT|51146	0	0.3249	0	0	0	3.2353	0	0	0.4415	0	0	0.6309	5.144	0	0.9622	2.0411	0.8382	0	0	0	0	3.0262
AAA1|404744	1.2708	0	0	0.3151	0	0	0	1.0695	0	0.9186	0	0	0.3674	0	0	0	0	0	0	0	0.6452	0.3362
AAAS|8086	521.646	759.259	727.73	488.696	593.162	572.237	688.877	1049.2	505.519	1386.82	785.429	471.924	782.254	470.871	737.046	501.588	644.593	454.637	598.916	505.247	725.807	546.402
AACS|65985	1218.66	298.246	425.287	813.549	597.721	1243.15	680.852	1724.06	515.232	565.873	1416.64	996.845	952.373	1201.47	1412.51	622.01	897.737	865.664	759.614	1023.99	483.226	827.169
AACSL|729522	0	0.6498	0	0.6302	0	0	0.8447	0	0	1.2248	2.1271	0	0.3674	0	0	0	0	3.5088	1.0572	1.4993	0	0.3362
AADAC|13	3.1769	116.959	408.764	5.9866	2.2792	35.5879	24.4971	0	324.503	19.2911	11.1672	30.9148	33.4359	4.8097	0.4811	0	18.4409	33.584	14.8011	36.9815	9.0323	5.38
AADACL2|344752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4998	0	0
AADACL3|126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5924	0	0	0	0	0	0
AADACL4|343066	0	0	0	0	0	0	0.4224	0	0	0	0.5318	0.6309	0	0	0.4811	0	0	0	0	0	0.6452	0
AADAT|51166	113.733	151.072	87.6437	91.3746	88.8889	91.3962	70.1125	190.374	92.7152	108.092	85.0838	22.082	120.516	323.453	75.5328	10.7155	35.2054	224.06	321.396	371.314	33.5484	86.7518
AAGAB|79719	977.212	1329.11	1144.4	1201.1	659.259	839.147	1132.36	763.636	1090.07	1414.07	1360.81	1179.18	1002.71	1458.79	1150.31	1110.33	1704.11	898.747	1138.63	847.077	556.129	864.828
AAK1|22848	1210.4	564.977	703.305	916.896	908.832	877.566	960.457	652.941	1794.26	893.822	927.413	1164.67	946.494	608.669	406.049	858.772	818.944	850.125	1236.95	852.074	698.71	1508.41
AAMP|14	1836.88	2423	2595.55	2466.8	3176.07	1684.36	2335.25	1927.81	1761.15	2346.47	2742.89	2157.1	1703.4	1887.33	4498.77	2330.88	2443.42	2331.33	2328.53	2227.39	2893.55	2519.5
AANAT|15	0	0.3249	0	0.3151	0.5698	1.6176	2.5342	2.139	1.766	1.2248	0	0	0.3674	0.7215	0	0	0	0	0.5286	0.4998	0.6452	0.6725
AARS|16	4790.75	2012.02	3435.34	3753.92	1847.86	4899.4	3459.17	5047.06	3814.13	2302.07	4770.54	2567.82	4231.67	3006.55	8544.83	4648.49	6705.78	3225.06	2573.81	4225.39	1043.23	2343.64
AARS2|57505	280.837	596.784	516.48	194.092	386.319	550.387	452.281	622.449	336.419	750.483	329.163	331.23	491.982	748.861	317.464	550.058	284.962	689.714	348.836	272.859	557.394	447.505
AARSD1|80755	449.213	685.185	649.425	852.304	669.516	505.914	636.504	363.102	679.47	491.158	550.385	447.319	643.734	857.813	1029.56	330.14	493.713	505.764	848.949	732.134	877.419	251.849
AASDH|132949	233.819	303.444	298.132	298.07	143.59	217.167	257.642	218.182	334.216	303.452	189.311	230.284	366.693	171.707	121.718	320.445	199.497	296.742	307.652	518.741	254.839	361.13
AASDHPPT|60496	662.7	1130.6	872.845	763.45	768.661	918.815	907.21	533.155	471.523	642.425	859.346	853.628	1188.26	919.137	380.069	1544.05	770.327	638.596	1159.77	1061.97	807.097	880.588
AASS|10157	552.779	375.569	248.563	396.061	455.271	503.488	3933.48	355.615	428.256	262.727	204.201	394.953	1529.6	302.531	374.777	140.833	120.704	398.998	1013.88	669.165	704.516	312.71
AATF|26574	1469	945.744	1160.2	1359.59	1970.94	1435.65	1119.27	801.069	908.168	1284.54	1191.17	849.211	1492.86	1092.77	954.022	1676.72	1558.26	1942.86	2002.91	1554.22	1462.58	1743.44
AATK|9625	57.8194	501.949	181.035	416.227	1216.17	55.4039	188.484	207.487	99.7792	278.956	161.659	223.344	1038.92	270.306	229.244	52.5571	31.0142	146.867	1250.37	39.4803	472.903	47.0746
ABAT|18	514.021	274.854	132.902	462.229	319.658	161.359	198.511	641.177	948.344	1127.46	281.308	187.382	418.868	442.013	253.54	86.2344	108.131	466.667	321.924	175.912	67.0968	388.702
ABCA10|10349	6.9892	15.5945	7.9023	4.0961	8.547	11.3234	28.2984	2.6738	9.713	7.9614	2.1271	7.571	15.432	2.1644	2.8866	1.0205	3.3529	0.5013	9.515	5.4973	16.7742	7.7337
ABCA1|19	1431.5	625.731	354.167	906.499	514.53	717.824	2224.57	431.551	2117	1489.37	621.643	2186.11	472.145	1755.75	760.558	1856.83	699.916	738.847	1782.48	1252.37	643.832	2492.85
ABCA11P|79963	57.0888	199.24	106.573	43.0374	59.584	47.9507	71.7344	32.6043	73.4702	161.908	82.4196	56.2776	127.112	128.29	87.0263	52.2866	94.342	146.632	157.494	54.4178	188.594	87.1352
ABCA12|26154	684.303	3.5737	165.948	155.652	213.105	544.738	200.201	281.283	1.766	393.478	410.529	314.827	185.551	211.627	0.9622	354.122	659.682	256.14	745.342	2.4988	5.8065	231.674
ABCA13|154664	24.1444	12.0208	19.3966	370.54	21.0826	22.6469	67.156	19.7861	45.0331	242.823	12.2308	207.571	35.6405	541.574	20.2062	3.5718	5.0293	218.045	14.8011	998.001	343.871	34.2972
ABCA17P|650655	188.072	1.9493	3.592	0.6302	2.2792	2.8309	3.3789	10.6952	1.3245	20.516	2.1271	1.2618	2.9394	1.4429	7.2165	0	0	3.5088	6.3433	15.4923	6.4516	7.0612
ABCA2|20	731.956	869.396	1010.78	1337.85	908.262	901.83	887.811	1143.32	1602.21	845.441	798.724	753.943	1800.4	1406.84	1090.17	957.763	450.964	1021.55	1259.68	1108.45	1147.1	2415.94
ABCA3|21	10030.1	8011.05	9451.87	4040.02	2243.87	3126.07	10000.7	10307.5	2731.13	2116.21	6282.37	4023.34	5960.42	3423.8	3306.12	2251.79	69.5725	13239.6	5669.88	9958.02	2866.45	2426.7
ABCA4|24	17.7906	22.742	11.4943	1795.67	5660.4	13.7499	62.0876	20.8556	3.9735	32.7643	1124.7	76.9716	18.004	31.0227	42.818	349.02	9.2205	830.075	1204.18	1751.12	83.2258	30.5985
ABCA5|23461	81.3284	173.164	293.103	224.34	150.997	296.431	312.972	410.16	387.197	114.216	64.8764	113.565	400.496	239.764	157.32	20.4105	50.2934	108.271	263.248	67.4663	365.161	165.097
ABCA6|23460	100.39	61.4035	48.8506	85.703	46.7236	110.808	160.921	28.3422	99.3377	48.3809	21.8027	160.883	40.7845	24.77	12.9897	63.7828	46.1023	68.6717	52.8611	40.9795	27.7419	332.212
ABCA7|10347	255.422	422.027	1875.72	845.372	530.484	919.624	430.39	1417.11	520.971	438.184	296.73	321.767	468.471	1318.34	985.775	269.929	227.997	400	713.625	483.258	4143.87	599.193
ABCA8|10351	116.274	153.346	93.3908	297.125	22.792	50.9554	210.76	18.7166	65.3422	94.6184	37.2241	333.754	47.3982	69.7409	71.2029	3.0616	51.9698	206.015	25.9019	32.4838	81.2903	67.2495
ABCA9|10350	43.2057	12.9955	28.7356	29.618	14.245	62.6832	80.2493	10.1604	54.7461	26.3339	15.4214	102.839	20.9434	8.417	28.866	9.695	20.1174	54.1353	43.3461	26.4868	25.8065	124.748
ABCB10|23456	679.855	533.463	591.954	531.548	298.575	863.411	574.838	630.481	605.74	256.909	586.546	801.262	513.664	1054.05	394.021	355.143	667.226	699.248	750.099	826.587	575.484	393.746
ABCB11|8647	3.8123	11.0461	0	4.4112	0	2.022	0.8447	0.5348	0.4415	1.2248	3.1906	1.8927	0.3674	0	3.8488	0	0	1.0025	17.4442	0.4998	0	0.6725
ABCB1|5243	67.3501	32.1637	32.3276	53.5644	45.584	95.8447	118.684	14.4385	61.8102	43.1754	59.5586	160.252	53.6445	12.7457	20.2062	29.085	28.4996	17.5439	93.5642	21.4893	16.129	96.503
ABCB4|5244	99.7544	6.4977	14.3678	76.8807	10.8262	188.05	14.3604	279.144	266.667	48.3809	136.666	44.164	597.805	267.18	33.677	12.2463	8.3822	17.5439	12.6867	47.4763	10.9677	19.1661
ABCB5|340273	1.2708	2.5991	1.4368	5.9866	1.1396	0.4044	0	3.7433	0	0.3062	3.1906	1.8927	1.4697	32.4656	0.4811	0	2.5147	0.5013	0	0	0	1.345
ABCB6|10058	807.312	3428.1	2752.24	1419.45	228.707	497.887	505.832	1177.71	656.662	343.253	1366.78	1257.93	537.771	648.862	2892	296.121	1578.22	259.404	799.345	447.791	712.677	473.504
ABCB7|22	441.588	683.561	428.879	332.099	429.63	425.842	341.693	219.251	294.481	277.731	473.278	445.426	527.626	498.767	425.774	343.407	435.038	515.288	579.886	478.261	285.807	459.987
ABCB8|11194	634.743	1285.25	1302.44	1430.8	813.105	580.326	757.3	649.198	889.625	553.931	773.73	731.23	536.077	835.207	903.988	649.564	852.473	860.15	695.124	563.718	1447.1	768.662
ABCB9|23457	75.9786	35.6368	38.5489	84.6727	419.863	128.266	78.9906	88.7273	79.8543	136.345	127.647	73.7035	80.1397	109.549	99.0394	107.461	60.0754	136.566	123.293	114.223	539.813	181.93
ABCC10|89845	630.931	596.166	865.661	1211.82	694.017	913.558	623.41	1709.63	922.296	1205.54	553.044	596.215	1007.85	989.599	690.379	615.887	639.564	940.351	826.748	564.218	827.742	653.665
ABCC11|85320	1.9061	1.2995	2.8736	5.6715	1.1396	2.4264	5.9131	5.3476	1.3245	4.5931	2.1271	5.6782	30.4965	1.2024	15.3952	0.5103	5.0293	2.5063	0	1.999	1.9355	2.3537
ABCC12|94160	0	0	1.4368	0	1.7094	0.4044	0	0	0.883	1.2248	0.5318	0	0	1.9239	0	0	0	0	1.5858	2.9985	5.1613	0
ABCC13|150000	1.2708	6.1728	21.5517	3.781	1.1396	0	1.6895	0	0.883	0.3062	0.5318	1.8927	0	0	0	0	0	6.015	0	2.4988	0.6452	1.0087
ABCC1|4363	1540.16	2730.02	1316.81	3577.47	1325.93	1573.96	1925.14	1023.53	1587.64	1683.53	3654.35	4160.25	1321.64	1931.34	3241.17	2132.39	1652.98	1677.69	1395	613.193	2008.39	2746.13
ABCC2|1244	6.3538	225.796	15.0862	316.345	1.1396	11.3234	188.797	9.6257	15.894	22.6594	1100.24	4088.96	16.9017	4.3287	4.811	7.1437	1254.82	0.5013	8.4578	24.9875	4.5161	8.0699
ABCC3|8714	948.62	10630.3	10732	16601.5	5449.57	717.42	2393.96	1863.64	4245.03	6738.42	4201.01	4235.33	4900.75	184.693	1072.85	6514.52	2919.53	10448.6	20687.2	5758.12	10122.6	6829.19
ABCC4|10257	918.122	2141.33	2407.33	2454.51	426.211	437.57	563.434	916.577	1493.6	787.874	719.49	862.461	1955.08	2838.21	1087.77	239.313	264.878	2923.81	418.131	1108.95	536.774	559.852
ABCC5|10057	411.09	1392.14	293.822	420.953	445.584	793.044	917.798	1615.51	626.049	922.912	238.766	635.962	1171.36	621.415	472.922	309.729	311.819	496.241	813.532	888.056	929.677	1052.45
ABCC6|368	252.245	384.016	462.644	885.703	340.171	175.109	616.23	347.059	747.903	604.149	446.69	187.382	425.849	744.544	464.743	80.1112	6.7058	407.519	543.412	199.4	352.903	312.038
ABCC6P1|653190	104.838	9.7466	22.2701	18.9051	35.3276	26.2865	53.2179	87.7005	36.2031	45.9313	28.7158	12.6183	42.6216	107.016	49.0723	20.4105	0	34.0852	51.2753	22.4888	20.6452	39.6772
ABCC6P2|730013	137.242	36.0624	81.1782	43.7968	76.9231	69.9626	45.6154	61.4973	82.1192	136.569	47.8596	23.9748	42.6216	126.014	248.729	9.1847	5.8676	121.805	52.8611	29.4853	114.839	39.0047
ABCC8|6833	13.3429	0.9747	3.592	30.2481	0	114.043	0.4224	201.604	21.1921	3.3683	1.5953	1.8927	20.9434	31.0227	0.4811	0	0	3.0075	0.5286	4.9975	1.9355	0.6725
ABCC9|10060	519.104	1220.92	258.621	625.443	92.8775	250.733	985.377	135.294	328.918	82.6763	591.332	268.77	780.784	307.822	202.543	576.597	438.391	120.802	185.014	116.942	67.7419	414.593
ABCD1|215	578.194	147.173	311.063	165.734	602.279	534.627	439.259	328.877	301.104	613.029	503.589	528.076	512.562	717.61	1136.84	405.149	887.678	249.123	400.159	546.227	869.677	411.231
ABCD2|225	70.527	10.7212	7.9023	11.6581	12.5356	43.6761	53.2179	3.7433	18.543	21.4346	17.0168	50.4732	6.9811	12.2648	12.9897	8.6745	15.088	15.0376	131.624	31.4843	2.5806	92.8043
ABCD3|5825	954.974	1570.83	2161.64	706.105	1728.21	938.227	1296.66	821.39	1671.08	775.32	1542.14	1511.67	1307.68	1228.88	722.132	1226.67	848.282	1712.28	1180.92	1705.15	1776.13	864.828
ABCD4|5826	557.862	595.517	568.966	469.791	340.741	596.502	685.075	500	303.753	494.22	497.208	489.59	608.828	708.712	265.567	459.747	412.406	377.945	480.507	703.148	463.871	714.526
ABCE1|6059	1672.95	2013.32	1262.21	1536.35	1172.08	1557.38	1778.16	1225.13	1048.12	1080.3	1314.01	2704.73	1318.7	1197.86	1211.41	3123.32	2143.34	1772.93	1805.21	2373.81	898.71	1857.43
ABCF1|23	1859.12	1868.1	3298.13	2412.92	1441.03	1968.66	1943.72	2121.39	1365.56	2498.66	1912.26	2202.52	2073.76	2070.1	2034.09	2736.03	2420.79	2732.33	1715.34	3500.25	2682.58	1906.19
ABCF2|10061	1062.99	1736.19	1400.14	1807.01	1184.62	1440.1	1593.58	1051.34	1085.65	821.863	1188.51	1575.39	1212.51	1430.17	2008.59	1456.8	1991.62	2249.62	1567.33	1593.7	1648.39	1779.76
ABCF3|55324	798.035	972.71	799.569	1312.33	1135.04	701.244	1174.17	897.326	1266.23	1241.06	788.62	830.915	806.872	812.361	1552.51	897.552	1165.13	809.524	940.399	851.574	978.71	1002.69
ABCG1|9619	782.151	276.478	447.558	306.577	418.803	660.803	1384.51	1802.14	920.53	556.381	740.76	867.508	1653.43	1094.93	1690.59	620.479	723.386	205.514	442.976	304.848	2609.03	832.549
ABCG2|9429	91.4945	56.8551	38.7931	85.0729	46.7236	33.1615	78.5598	31.016	128.035	46.2375	85.6155	162.145	85.2433	15.6316	33.1959	109.707	464.375	22.5564	45.9892	23.988	31.6129	60.1883
ABCG4|64137	4.4476	1.6244	1.4368	1.8905	2.2792	4.4485	10.5591	1.6043	3.9735	0.3062	1.0635	3.1546	4.0417	1.9239	1.9244	2.5513	4.1911	1.5038	1.5858	1.999	1.2903	2.69
ABCG5|64240	0	0.6498	0	0.9453	0.5698	0	0.4224	1.0695	0	1.2248	0.5318	0	0	0.481	0.4811	0	0	1.5038	0	0.4998	0	0.6725
ABCG8|64241	0	0	0	0	0	0	0.4224	0	0	0	1.5953	0	0	0	0	0	0	0	0	0	0	0
ABHD10|55347	591.537	809.292	309.626	498.464	576.068	413.709	397.445	395.187	471.965	782.362	511.566	472.555	254.26	381.651	471.96	486.791	370.495	426.065	563.499	525.237	367.742	720.578
ABHD11|83451	529.27	521.767	479.167	706.735	1128.21	1047.01	279.183	640.107	1537.31	932.098	624.834	935.016	813.485	1572.78	1736.77	463.829	662.196	1870.68	757.5	366.817	1861.94	624.075
ABHD12|26090	1442.94	1101.04	1907.33	2072.63	2095.16	1228.59	1221.9	2963.64	1517.44	2697.39	2148.36	1189.91	1014.84	1269.28	6013.76	946.537	959.765	910.276	1540.37	1400.3	2858.71	2172.16
ABHD12B|145447	1.9061	4.5484	1.4368	11.343	2.2792	0	0.4224	1.6043	2.2075	1.2248	1.0635	0.6309	0.7349	2.1644	1.9244	4.0821	0	1.0025	0.5286	0.4998	1.9355	1.0087
ABHD13|84945	434.599	664.068	609.914	430.721	504.843	525.731	557.099	279.144	468.874	632.626	701.941	533.123	442.383	257.56	214.571	408.21	432.523	488.722	449.848	606.197	247.097	377.27
ABHD14A|25864	259.234	768.713	613.736	1068.45	526.496	329.188	169.035	503.053	633.113	288.892	334.486	225.868	698.197	448.532	871.817	164.815	163.453	478.697	234.175	385.397	454.193	170.215
ABHD14B|84836	1033.76	3208.9	1637.93	2590	1487.18	945.506	1143.76	1444.92	728.918	970.068	868.918	1176.03	1534.75	1071.85	757.252	1525.18	932.104	3309.27	2125.55	1481.76	1180.65	1483.52
ABHD15|116236	419.985	287.524	479.885	351.95	370.94	517.642	303.258	783.957	422.517	329.174	515.82	411.356	312.681	401.371	151.547	375.553	297.569	292.732	420.246	237.381	618.71	309.011
ABHD1|84696	8.2599	1.6244	2.8736	1.2603	2.2792	12.1322	4.646	8.5561	4.415	7.6552	1.0635	3.7855	6.6137	0.7215	0.4811	2.0411	1.6764	22.5564	9.515	40.4798	1.9355	11.7687
ABHD2|11057	3523.17	6441.52	9128.59	11801.2	2681.48	2780.31	4577.17	2084.49	4224.28	8270.99	13934.1	13936.3	4589.54	4145.97	3221.45	4579.61	6123.22	4866.67	3714.02	3412.79	4277.42	4306.32
ABHD3|171586	738.31	514.945	410.92	495.943	209.117	600.95	382.24	595.187	1083	391.028	835.948	868.77	496.028	683.22	413.265	311.26	347.863	201.002	547.112	610.195	693.548	415.266
ABHD4|63874	1205.95	2031.84	1931.75	1749.35	736.752	593.671	1059.29	593.583	395.585	934.242	2056.37	3928.71	789.602	493.477	3217.6	780.702	2150.88	494.737	462.535	1684.66	980.645	854.405
ABHD5|51099	716.707	558.804	454.023	412.761	1207.98	777.272	601.87	635.829	610.596	609.355	716.299	858.044	530.198	486.503	720.207	828.667	716.681	874.186	578.301	336.832	514.839	522.192
ABHD6|57406	116.274	146.199	66.092	208.901	105.983	144.778	275.804	78.6096	225.607	93.0873	88.2744	127.445	114.27	106.295	56.2888	154.61	142.498	165.413	116.823	106.947	173.548	161.399
ABHD8|79575	243.35	266.407	309.626	138.952	426.211	308.563	242.86	618.182	123.62	233.331	249.402	313.565	383.595	112.307	484.949	183.184	481.978	224.06	459.363	250.875	651.613	407.868
ABI1|10006	1607.29	1617.75	1163.61	1449.14	1194.53	1607.69	1505.25	1895.67	2478.59	1091.79	1576.08	2146.94	1533.3	2587.26	1801.16	1914.96	1643.66	1331.42	1392.07	1502.75	806.968	1327.8
ABI2|10152	1063.62	460.364	619.971	602.127	894.017	963.704	859.09	1119.25	1058.28	1313.33	779.048	733.123	1298.12	2367.58	1024.74	757.23	1138.31	1295.74	1438.35	1122.44	410.968	1549.76
ABI3|51225	309.429	183.561	98.4195	141.158	754.986	315.438	567.236	109.626	198.234	397.459	211.646	301.577	130.07	64.9312	147.698	267.888	244.761	177.444	447.734	234.383	255.484	569.939
ABI3BP|25890	762.454	178.363	383.621	575.029	260.969	400.768	815.586	21.3904	443.709	571.385	254.72	763.407	167.547	113.028	32.7148	139.302	171.836	634.085	281.75	163.418	181.29	787.155
ABL1|25	2544.69	1781.03	1928.16	3524.54	1841.03	2362.96	2494.91	3264.71	1795.14	2753.43	2261.63	2782.33	2768.57	3000.78	3155.54	1489.97	1818.94	1914.79	1499.14	1343.83	1393.55	3237.39
ABL2|27	1233.27	774.854	854.167	1110.67	1067.81	1103.63	1533.18	1048.66	1176.16	842.685	758.309	1286.44	1152.62	1120.42	1119.04	1944.1	1183.57	1496.24	1365.93	1090.45	884.516	1748.82
ABLIM1|3983	2056.72	7722.55	5033.05	9693.58	2649.57	986.756	2347.93	2743.85	4342.6	3045.24	6246.74	6852.37	1460.53	1790.9	3915.68	3087.09	2888.52	2092.73	1406.63	5066.97	1722.58	2561.53
ABLIM2|84448	97.2129	102.339	89.7989	90.4293	87.1795	214.741	52.3732	134.225	192.936	101.967	118.054	92.1136	121.986	176.757	370.447	21.9413	26.8231	92.7318	44.9319	245.877	146.452	47.0746
ABLIM3|22885	183.624	780.377	218.391	614.73	97.4359	140.33	495.856	110.695	369.095	235.168	758.841	338.17	101.41	69.7409	41.8557	526.081	273.261	312.281	119.995	307.846	97.4194	543.376
ABO|28	231.913	397.661	553.879	892.95	201.709	58.2348	24.9195	95.1872	73.2892	53.5865	42.5419	167.192	302.026	50.2615	216.495	33.6773	0.8382	228.07	54.4469	2.9985	150.323	96.8393
ABP1|26	953.068	17.8687	50.2874	3961.87	80.3419	2487.92	78.5598	3725.13	4908.61	1689.05	1756.98	306.625	3303.18	23.3271	8.6598	82.1523	290.025	1513.28	843.663	7.996	11.6129	1820.78
ABR|29	2448.75	1188.43	3033.05	3069.87	2964.1	1650.39	2056.49	2519.25	1739.96	8941.59	2379.69	2056.15	1981.17	1856.07	1025.71	3896.88	2518.86	3058.15	2084.84	1782.11	1190.97	2977.81
ABRA|137735	0.6354	0.9747	0	0.3151	0.5698	1.6176	0	0	0.883	1.2248	0.5318	0.6309	1.4697	0	0	1.0205	2.5147	0.5013	0.5286	0.9995	0.6452	0.6725
ABT1|29777	656.346	1263.16	750	822.371	796.581	824.992	640.727	898.396	575.717	782.056	591.864	585.489	693.336	607.948	782.269	793.969	734.283	1155.39	745.342	631.184	889.677	659.718
